Ref,Original ref,Date,IP,Update type,Technical cookies,Statistics cookies,Profiling cookies
1592289835650,1592289818369,2020-06-16 06:40:59,94.36.121.119,ACCEPT BUTTON,1,1,1
1592289836561,1592289832438,2020-06-16 06:43:56,87.17.134.234,ACCEPT BUTTON,1,1,1
1592310190438,1592310167802,2020-06-16 12:23:12,151.61.42.101,ACCEPT BUTTON,1,1,1
1592313336003,1592313329832,2020-06-16 13:15:36,93.47.229.182,ACCEPT BUTTON,1,1,1
1592330009309,1592330004048,2020-06-16 17:53:29,62.19.167.168,Cancel BUTTON,1,0,0
1592333585107,1592333579124,2020-06-16 18:53:06,151.61.42.101,ACCEPT BUTTON,1,1,1
1592336909821,1592336899447,2020-06-16 19:48:30,5.170.241.206,ACCEPT BUTTON,1,1,1
1592388890717,1592388886827,2020-06-17 10:14:39,95.20.175.189,ACCEPT BUTTON,1,1,1
1592393966797,1592393818034,2020-06-17 11:39:28,37.227.61.216,ACCEPT BUTTON,1,1,1
1592415457163,1592415454981,2020-06-17 17:37:37,93.56.172.196,ACCEPT BUTTON,1,1,1
1592422591225,1592422585943,2020-06-17 19:36:31,172.114.162.208,ACCEPT BUTTON,1,1,1
1592456543281,1592455100619,2020-06-18 05:02:25,101.180.30.241,ACCEPT BUTTON,1,1,1
1592465275228,1592465273679,2020-06-18 07:27:55,217.58.2.225,ACCEPT BUTTON,1,1,1
1592476400643,1592476395489,2020-06-18 10:33:21,89.240.118.232,ACCEPT BUTTON,1,1,1
1592509252122,1592509242789,2020-06-18 19:40:52,189.207.56.224,ACCEPT BUTTON,1,1,1
1592521674370,1592521671964,2020-06-18 23:07:55,151.61.41.254,ACCEPT BUTTON,1,1,1
1592542057129,1592542055101,2020-06-19 04:47:37,62.18.2.25,ACCEPT BUTTON,1,1,1
1592557623317,1592557616995,2020-06-19 09:07:03,82.55.123.13,ACCEPT BUTTON,1,1,1
1592558027644,1592558025515,2020-06-19 09:13:48,93.47.37.186,ACCEPT BUTTON,1,1,1
1592558536120,1592558532914,2020-06-19 09:22:16,93.67.127.137,ACCEPT BUTTON,1,1,1
1592570219977,1592570210325,2020-06-19 12:37:02,79.158.80.122,Cancel BUTTON,1,0,0
1592584813587,1592584811641,2020-06-19 16:40:13,5.90.251.74,ACCEPT BUTTON,1,1,1
1592587916390,1592587913465,2020-06-19 17:31:58,31.4.181.152,ACCEPT BUTTON,1,1,1
1592671622159,1592671583908,2020-06-20 16:47:03,79.40.63.202,ACCEPT BUTTON,1,1,1
1592671657970,1592671656628,2020-06-20 16:47:39,79.40.63.202,ACCEPT BUTTON,1,1,1
1592687991030,1592687987854,2020-06-20 21:19:51,93.47.229.182,ACCEPT BUTTON,1,1,1
1592689643300,1592689639242,2020-06-20 21:47:23,93.47.229.182,ACCEPT BUTTON,1,1,1
1592719220326,1592719217303,2020-06-21 06:00:20,46.65.189.128,ACCEPT BUTTON,1,1,1
1592724841516,1592724838752,2020-06-21 07:34:02,109.115.70.148,ACCEPT BUTTON,1,1,1
1592731233536,1592731208731,2020-06-21 09:20:35,37.160.211.11,Cancel BUTTON,1,0,0
1592928668769,1592928659133,2020-06-23 16:11:04,109.117.20.160,Cancel BUTTON,1,0,0
1592944720571,1592944714160,2020-06-23 20:38:40,176.122.100.191,Cancel BUTTON,1,0,0
1592995876205,1592995872994,2020-06-24 10:51:16,151.34.170.227,ACCEPT BUTTON,1,1,1
1593025584964,1593025581695,2020-06-24 19:06:25,93.47.229.182,ACCEPT BUTTON,1,1,1
1593026882655,1593026880502,2020-06-24 19:28:03,79.19.185.131,ACCEPT BUTTON,1,1,1
1593074351356,1593074348477,2020-06-25 08:39:11,185.94.88.2,Cancel BUTTON,1,0,0
1593075606672,1593075601513,2020-06-25 09:00:07,151.63.7.168,ACCEPT BUTTON,1,1,1
1593082604295,1593082598612,2020-06-25 10:56:44,82.51.11.30,ACCEPT BUTTON,1,1,1
1593094179845,1593094176711,2020-06-25 14:09:40,93.144.151.196,ACCEPT BUTTON,1,1,1
1593094220960,1593094219319,2020-06-25 14:10:22,151.32.38.183,Cancel BUTTON,1,0,0
1593094420173,1593094417256,2020-06-25 14:13:40,79.44.229.219,ACCEPT BUTTON,1,1,1
1593094840375,1593094838116,2020-06-25 14:21:37,37.117.146.33,ACCEPT BUTTON,1,1,1
1593096426315,1593096425180,2020-06-25 14:47:07,185.178.95.237,ACCEPT BUTTON,1,1,1
1593097280456,1593097278564,2020-06-25 15:00:46,5.90.42.2,ACCEPT BUTTON,1,1,1
