Ref,Original ref,Date,IP,Update type,Technical cookies,Statistics cookies,Profiling cookies
1593635770067,1593635763586,2020-07-01 20:36:11,5.90.131.249,Cancel BUTTON,1,0,0
1593644550774,1593644547498,2020-07-01 23:02:31,201.52.192.110,ACCEPT BUTTON,1,1,1
1593646450305,1593646447122,2020-07-01 23:34:10,201.52.192.110,ACCEPT BUTTON,1,1,1
1593677542335,1593677534106,2020-07-02 08:12:22,88.21.52.166,ACCEPT BUTTON,1,1,1
1593684849423,1593684843858,2020-07-02 10:14:10,151.36.156.38,ACCEPT BUTTON,1,1,1
1593686576389,1593686574374,2020-07-02 10:42:56,95.235.93.183,ACCEPT BUTTON,1,1,1
1593688317655,1593688315493,2020-07-02 11:11:52,151.61.44.60,ACCEPT BUTTON,1,1,1
1593697966438,1593697961874,2020-07-02 13:52:46,91.64.134.52,ACCEPT BUTTON,1,1,1
1593719246640,1593719241427,2020-07-02 19:47:27,188.152.86.244,ACCEPT BUTTON,1,1,1
1593723615589,1593723610013,2020-07-02 21:00:16,93.47.231.77,ACCEPT BUTTON,1,1,1
1593769677757,1593769674915,2020-07-03 09:47:58,213.198.82.120,ACCEPT BUTTON,1,1,1
1593772335978,1593772303095,2020-07-03 10:32:20,86.225.75.91,ACCEPT BUTTON,1,1,1
1593789511681,1593789500420,2020-07-03 15:18:31,69.120.85.235,ACCEPT BUTTON,1,1,1
1593797619445,1593797616633,2020-07-03 17:33:41,47.53.53.18,ACCEPT BUTTON,1,1,1
1593802723536,1593802721052,2020-07-03 18:58:44,93.36.57.201,ACCEPT BUTTON,1,1,1
1593803967022,1593803960588,2020-07-03 19:19:28,93.48.251.62,ACCEPT BUTTON,1,1,1
1593803971174,1593803968824,2020-07-03 19:19:31,2.227.29.172,ACCEPT BUTTON,1,1,1
1593804986216,1593804984626,2020-07-03 19:36:26,79.23.43.80,ACCEPT BUTTON,1,1,1
1593810838109,1593810646874,2020-07-03 21:13:59,151.63.176.95,ACCEPT BUTTON,1,1,1
1593814605119,1593814595809,2020-07-03 22:16:47,79.53.93.64,Cancel BUTTON,1,0,0
1593816195959,1593816111191,2020-07-03 22:43:16,151.76.113.158,Cancel BUTTON,1,0,0
1593820384144,1593820380462,2020-07-03 23:53:04,151.82.200.39,ACCEPT BUTTON,1,1,1
1593821395470,1593821391630,2020-07-04 00:09:55,5.90.144.160,ACCEPT BUTTON,1,1,1
1593861681280,1593861675951,2020-07-04 11:21:22,93.147.239.247,Cancel BUTTON,1,0,0
1593865986660,1593865985368,2020-07-04 12:33:07,176.200.166.87,ACCEPT BUTTON,1,1,1
1593870512320,1593870503349,2020-07-04 13:48:32,79.22.166.36,ACCEPT BUTTON,1,1,1
1593881213188,1593881210156,2020-07-04 16:46:54,93.67.70.180,ACCEPT BUTTON,1,1,1
1593927445444,1593927429888,2020-07-05 05:37:27,189.218.239.113,Cancel BUTTON,1,0,0
1593950094459,1593950086797,2020-07-05 11:54:56,93.44.186.1,ACCEPT BUTTON,1,1,1
1593950120287,1593950113831,2020-07-05 11:55:22,93.44.186.1,ACCEPT BUTTON,1,1,1
1593961698009,1593961691684,2020-07-05 15:08:19,79.24.164.170,ACCEPT BUTTON,1,1,1
1593970457535,1593970454884,2020-07-05 17:34:18,93.42.89.200,Cancel BUTTON,1,0,0
1593986867660,1593986861689,2020-07-05 22:07:48,109.118.80.177,ACCEPT BUTTON,1,1,1
1594035342819,1594035339599,2020-07-06 11:35:43,37.159.41.155,ACCEPT BUTTON,1,1,1
1594143021937,1594142998687,2020-07-07 17:30:23,47.149.53.87,ACCEPT BUTTON,1,1,1
1594157847742,1594157840382,2020-07-07 21:37:28,94.133.175.228,Cancel BUTTON,1,0,0
1594168793379,1594168779793,2020-07-08 00:39:53,172.58.21.182,ACCEPT BUTTON,1,1,1
1594203365097,1594203362771,2020-07-08 10:16:06,95.74.110.68,ACCEPT BUTTON,1,1,1
1594223130159,1594223124366,2020-07-08 15:45:29,83.165.98.66,ACCEPT BUTTON,1,1,1
1594228977775,1594228974192,2020-07-08 17:23:01,93.34.135.150,Cancel BUTTON,1,0,0
1594241485131,1594241483346,2020-07-08 20:51:23,79.32.120.216,ACCEPT BUTTON,1,1,1
1594243415276,1594243411697,2020-07-08 21:23:37,185.63.101.165,ACCEPT BUTTON,1,1,1
1594279612693,1594279610781,2020-07-09 07:26:53,5.95.161.225,ACCEPT BUTTON,1,1,1
1594291103746,1594291088672,2020-07-09 10:38:24,1.75.248.87,ACCEPT BUTTON,1,1,1
1594301310463,1594301294646,2020-07-09 13:28:41,153.186.227.96,Cancel BUTTON,1,0,0
1594325127551,1594325117921,2020-07-09 20:05:31,93.40.213.179,Cancel BUTTON,1,0,0
1594327413631,1594327375166,2020-07-09 20:43:35,87.19.2.99,ACCEPT BUTTON,1,1,1
1594329179376,1594329175900,2020-07-09 21:12:58,2.34.128.161,Cancel BUTTON,1,0,0
1594332589079,1594332505123,2020-07-09 22:09:53,146.241.141.35,ACCEPT BUTTON,1,1,1
1594348579637,1594348559769,2020-07-10 02:36:20,189.219.77.74,ACCEPT BUTTON,1,1,1
1594358699123,1594358696960,2020-07-10 05:24:59,93.37.142.110,ACCEPT BUTTON,1,1,1
1594377850859,1594377609815,2020-07-10 10:44:12,151.76.207.194,ACCEPT BUTTON,1,1,1
1594478122145,1594478119085,2020-07-11 14:35:22,5.90.192.90,ACCEPT BUTTON,1,1,1
1594546315492,1594546313688,2020-07-12 09:31:56,93.34.125.255,ACCEPT BUTTON,1,1,1
1594621869772,1594621867019,2020-07-13 06:29:52,94.36.109.188,ACCEPT BUTTON,1,1,1
1594632922387,1594632918875,2020-07-13 09:35:22,213.205.198.51,ACCEPT BUTTON,1,1,1
1594671527758,1594671522491,2020-07-13 20:18:48,47.14.245.54,ACCEPT BUTTON,1,1,1
1594715357332,1594715355375,2020-07-14 08:29:17,176.200.80.206,ACCEPT BUTTON,1,1,1
1594748736436,1594748632837,2020-07-14 17:45:36,93.144.71.131,ACCEPT BUTTON,1,1,1
1594795254649,1594795250016,2020-07-15 06:40:56,83.211.188.177,ACCEPT BUTTON,1,1,1
1594807005189,1594807003840,2020-07-15 09:56:45,93.67.79.214,ACCEPT BUTTON,1,1,1
1594818066155,1594818060756,2020-07-15 13:01:06,80.82.11.119,ACCEPT BUTTON,1,1,1
1594818636065,1594818631128,2020-07-15 13:10:36,109.175.223.170,ACCEPT BUTTON,1,1,1
1594825934000,1594825931577,2020-07-15 15:12:13,109.175.223.170,ACCEPT BUTTON,1,1,1
1594829063390,1594829059408,2020-07-15 16:04:23,87.16.186.151,ACCEPT BUTTON,1,1,1
